,Hgcf_01,Hgcf_02,Hgcf_03,Hgcf_04,Hgcf_05,Hgcf_06,Hgcf_07,Hgcf_08,Hgcf_09,Hgcf_10,PLgcf_01,PLgcf_02,PLgcf_03,PLgcf_04,PLgcf_05,PLgcf_06,PLgcf_07,PLgcf_08,PLgcf_09,PLgcf_10,PMgcf_01,PMgcf_02,PMgcf_03,PMgcf_04,PMgcf_05,PMgcf_06,PMgcf_07,PMgcf_08,PMgcf_09,PMgcf_10,PHgcf_01,PHgcf_02,PHgcf_03,PHgcf_04,PHgcf_05,PHgcf_06,PHgcf_07,PHgcf_08,PHgcf_09,PHgcf_10
Actinomyces_massiliensis,0.00288347,6.52E-05,5.28E-05,0.000200046,0.000705175,0.000181528,0.000635501,0,0.000195763,3.28E-05,0.000128072,0.00022621,0.001296532,5.03E-05,5.54E-05,4.04E-05,8.81E-05,2.98E-05,4.01E-05,9.99E-06,0,0,0,9.64E-06,0,0,0,7.39E-05,8.39E-05,7.36E-05,0.000178834,0.000139191,0,0,0,0,2.85E-05,0,0,9.57E-06
Pyramidobacter_piscolens,1.04E-05,0,0,0,0,0,0.000115546,0,1.03E-05,0,1.07E-05,2.15E-05,0,0,0,2.02E-05,0,9.93E-06,0,2.00E-05,0.000132096,0.000244978,0.000214673,0.000260301,9.10E-05,4.90E-05,0.010437571,2.11E-05,2.10E-05,5.26E-05,0.000510954,3.80E-05,2.83E-05,9.04E-06,0,9.62E-05,9.51E-06,8.97E-05,6.37E-05,1.91E-05
Dietzia_cercidiphylli,3.13E-05,1.09E-05,2.11E-05,4.76E-05,2.04E-05,3.63E-05,0.000433296,5.97E-05,6.18E-05,3.28E-05,0,0,0.0002992,0.000281891,0.000310136,8.08E-05,0.000107667,9.93E-05,0.000200606,0.000139842,0,0,0,0,2.02E-05,2.94E-05,1.03E-05,0,0.000104927,0.000115722,0,0,0,0,0,9.62E-06,0,0,1.06E-05,0
Treponema_maltophilum,7.31E-05,2.17E-05,0.00010554,6.67E-05,2.04E-05,9.08E-06,0.000173319,1.99E-05,0,0,0.000149418,0,3.74E-05,6.04E-05,0.000188297,0.003421892,0.000117455,0.000287978,0.000521575,0.001038826,0.002032252,0.005442771,0.001155148,0.000751981,0.001516055,0.001038249,0.002741285,8.45E-05,0.000125913,0.005239072,0.00555662,0.000151845,0.008411831,0.007211604,0.001247293,0.00390486,0.002901584,0.000498067,0.003395694,0.008422181
Corynebacterium_durum,0.006665413,0.000477856,0.000147756,0.000609663,0.001113973,0.000862257,0.000279235,0.000149159,0.000133943,0.000492331,0.000106727,0.000754034,0.006457726,0.000875877,0.00086395,0.000464328,0.000401304,0.000615678,0.000992999,0.000359594,0.000172741,3.20E-05,7.16E-05,7.71E-05,0.000151606,8.82E-05,0.000144823,8.45E-05,0.000545622,0.000494451,0.000472632,0.000253075,2.83E-05,2.71E-05,0.00011974,5.77E-05,0.000114161,1.99E-05,9.55E-05,5.74E-05
Prevotella_dentalis,0,3.26E-05,8.44E-05,9.53E-06,7.15E-05,0,1.93E-05,1.99E-05,0,0,0.0001174,1.08E-05,9.97E-05,5.03E-05,0.000354441,0.000121129,7.83E-05,0.000168815,7.02E-05,7.99E-05,0.000203225,0.000287583,0.000276009,0.000520602,0.000717599,0.007914198,0.000858591,0.00013731,0.000314782,0.000231445,3.83E-05,8.86E-05,2.83E-05,1.81E-05,0.00011974,0.001731219,0.000161728,0.000159382,0.001018708,0.00043068
Porphyromonas_endodontalis,0.002695418,0.000629901,0.002627941,0.00261012,0.003750715,0.000399361,0.003687834,0.000666242,0.000350313,0.000361042,0.005987385,0.000603227,0.001333932,0.041347441,0.009592061,0.025194816,0.004737342,0.018728526,0.008355233,0.00768132,0.017060754,0.013793324,0.038518549,0.089283304,0.046441819,0.011557863,0.052529223,0.002133592,0.005519181,0.027983799,0.044874497,0.029533836,0.002270158,0.005819891,0.009489408,0.011945409,0.015307045,0.011624895,0.024045757,0.020395077
Treponema_denticola,0.000282079,5.43E-05,0.000200526,0,0.000122639,0.000163375,0.000279235,1.99E-05,0,1.09E-05,0.000288163,0,1.25E-05,5.03E-05,5.54E-05,0.004875439,0.000195758,0.000516375,0.00068206,0.000369582,0.001768059,0.017840786,0.003986792,0.002805468,0.000707492,0.035682453,0.02785766,0.000337995,0.000587593,0.001304508,0.002414256,0.000341651,0.028570083,0.012706159,0.000718441,0.008232907,0.0010655,0.002978444,0.002260259,0.001138909
Phocaeicola_abscessus,0,1.09E-05,1.06E-05,9.53E-06,0.000112419,0,0.000211834,0,1.03E-05,0,3.20E-05,0,6.23E-05,1.01E-05,2.22E-05,0.000363387,5.87E-05,1.99E-05,1.00E-05,3.00E-05,0.00016258,0.000468653,6.13E-05,0.00061701,9.10E-05,0.000176306,0.008834178,0.000211247,2.10E-05,0.000399769,7.66E-05,0.000177152,6.59E-05,0.000713931,0.000558787,0.034316601,0.000266375,0.000637526,0.003660982,0.000373256
Treponema_parvum,3.13E-05,0,0,0,0,9.08E-06,0,9.94E-06,0,0,2.13E-05,0,0,0,0,5.05E-05,0,9.93E-06,1.00E-05,2.00E-05,0.000101613,5.33E-05,7.16E-05,6.75E-05,0.000242569,0.000254665,0,2.11E-05,0,0.000199884,0.000370441,0,0.000235494,0.000171705,8.98E-05,0.000144268,0.000133187,3.98E-05,0.000116727,0.000622093
Lautropia_mirabilis,0.042938632,0.00637503,0.024443014,0.006591983,0.034635353,0.02800973,0.004188532,0.002326876,0.010633037,0.162173694,0.005165587,0.005989185,0.029383898,0.019823012,0.018154027,0.021207655,0.034658941,0.0133761,0.008977111,0.010128555,0.009023198,0.00271606,0.005274833,0.003335711,0.004426881,0.002419315,0.001582704,0.006168406,0.187421304,0.014886119,0.0008303,0.002189098,0.004728711,0.00790746,0.003462486,0.008175199,0.00336774,0.071711758,0.007958657,0.001349463
Capnocytophaga_haemolytica,0,2.17E-05,7.39E-05,0.000104786,4.09E-05,0.000617194,0.002763468,3.98E-05,7.21E-05,2.19E-05,0,0,8.73E-05,0.001963173,0.000210449,0.000353293,0.000822183,0.000129094,0.000110333,0.000159819,0,0,0,9.64E-06,1.01E-05,0,1.03E-05,0,0,1.05E-05,3.83E-05,0,0,0,9.98E-06,0,9.51E-06,1.99E-05,0,0
Prevotella_baroniae,0.000125368,5.43E-05,3.17E-05,6.67E-05,6.13E-05,4.54E-05,7.70E-05,0,0,0,5.34E-05,1.08E-05,9.97E-05,0.000130878,9.97E-05,0.000171599,0.000215334,0.000158885,6.02E-05,0.000139842,0.000142258,0.000362141,5.11E-05,0.00171606,0.000495245,0.00291885,0.000144823,0.000232371,6.30E-05,0.000683815,0.001456218,5.06E-05,1.88E-05,0.000144594,0.000568766,0.000875227,0.000171241,0.000139459,0.000710973,0.000392397
Deinococcus_ficus,1.04E-05,0,0,0,0,0,0,0,0,0,0,0,1.25E-05,0,1.11E-05,0.000131223,2.94E-05,1.99E-05,3.01E-05,9.99E-06,0,0,0,9.64E-06,1.01E-05,9.79E-06,1.03E-05,0,2.10E-05,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_gerencseriae,0.001493972,0.000141185,1.06E-05,0.000247676,0.000480337,9.08E-05,0.000221463,0.000149159,9.27E-05,3.28E-05,3.20E-05,4.31E-05,1.25E-05,0.011477011,0.000487356,0.00027254,0.000430667,0.000228397,0.000952878,0.000239729,2.03E-05,0,0,9.64E-06,0,2.94E-05,1.03E-05,1.06E-05,0.000125913,4.21E-05,6.39E-05,8.86E-05,0,1.81E-05,2.99E-05,1.92E-05,1.90E-05,0,4.24E-05,0
