tax.species,tax.phylum
Sporichthya_polymorpha,Actinobacteria
Anaerococcus_octavius,Firmicutes
Proteiniphilum_acetatigenes,Bacteroidetes
Marinobacterium_marisflavi,Proteobacteria
Holdemanella_biformis,Firmicutes
Curvibacter_gracilis,Proteobacteria
Megasphaera_elsdenii,Firmicutes
Bifidobacterium_bifidum,Actinobacteria
Agromyces_ramosus,Actinobacteria
Kordia_antarctica,Bacteroidetes
Pseudohongiella_spirulinae,Proteobacteria
Oceanicaulis_stylophorae,Proteobacteria
Thermosipho_geolei,Thermotogae
Variovorax_paradoxus,Proteobacteria
Bacteroides_eggerthii,Bacteroidetes
Meiothermus_granaticius,Deinococcus-Thermus
Corynebacterium_urealyticum,Actinobacteria
Synergistes_jonesii,Synergistetes
Corynebacterium_pyruviciproducens,Actinobacteria
Rufibacter_immobilis,Bacteroidetes
Halioglobus_japonicus,Proteobacteria
Phascolarctobacterium_succinatutens,Firmicutes
Ruminococcus_callidus,Firmicutes
Collinsella_tanakaei,Actinobacteria
Roseomonas_aestuarii,Proteobacteria
Corynebacterium_suicordis,Actinobacteria
Streptococcus_massiliensis,Firmicutes
Magnetovibrio_blakemorei,Proteobacteria
Albimonas_donghaensis,Proteobacteria
Chryseolinea_serpens,Bacteroidetes
Rudaea_cellulosilytica,Proteobacteria
Bacteroides_coprophilus,Bacteroidetes
Allisonella_histaminiformans,Firmicutes
Deinococcus_xinjiangensis,Deinococcus-Thermus
Desulfovibrio_piger,Proteobacteria
Acidithiobacillus_ferrooxidans,Proteobacteria
Petrotoga_mobilis,Thermotogae
Rubrobacter_bracarensis,Actinobacteria
Parvibaculum_lavamentivorans,Proteobacteria
Acetoanaerobium_noterae,Firmicutes
Actinomyces_gerencseriae,Actinobacteria
Steroidobacter_agariperforans,Proteobacteria
Actinomyces_israelii,Actinobacteria
Clostridium_thermopalmarium,Firmicutes
Oceanobacillus_kimchii,Firmicutes
Sphingobacterium_hotanense,Bacteroidetes
Allobaculum_stercoricanis,Firmicutes
Alistipes_onderdonkii,Bacteroidetes
Actinomyces_cardiffensis,Actinobacteria
Lactobacillus_acetotolerans,Firmicutes
Edwardsiella_tarda,Proteobacteria
Clostridium_colinum,Firmicutes
Desulfovibrio_paquesii,Proteobacteria
Tepidanaerobacter_syntrophicus,Firmicutes
Bacteroides_salanitronis,Bacteroidetes
Proteiniclasticum_ruminis,Firmicutes
Clostridium_cocleatum,Firmicutes
Nannocystis_pusilla,Proteobacteria
Lysobacter_dokdonensis,Proteobacteria
Succinivibrio_dextrinosolvens,Proteobacteria
Clostridium_leptum,Firmicutes
Desertibacter_xinjiangensis,Proteobacteria
Nitrolancea_hollandica,Chloroflexi
Bilophila_wadsworthia,Proteobacteria
Asticcacaulis_excentricus,Proteobacteria
Prevotella_timonensis,Bacteroidetes
Flavobacterium_mizutaii,Bacteroidetes
Corynebacterium_doosanense,Actinobacteria
Anaerococcus_vaginalis,Firmicutes
Sutterella_wadsworthensis,Proteobacteria
Tepidimonas_fonticaldi,Proteobacteria
Litorilinea_aerophila,Chloroflexi
Clostridium_lactatifermentans,Firmicutes
Mitsuokella_jalaludinii,Firmicutes
,Armatimonadetes
Bacillus_funiculus,Firmicutes
Odoribacter_splanchnicus,Bacteroidetes
Lactobacillus_ruminis,Firmicutes
Facklamia_tabacinasalis,Firmicutes
