,Hgcf_01,Hgcf_02,Hgcf_03,Hgcf_04,Hgcf_05,Hgcf_06,Hgcf_07,Hgcf_08,Hgcf_09,Hgcf_10,PLgcf_01,PLgcf_02,PLgcf_03,PLgcf_04,PLgcf_05,PLgcf_06,PLgcf_07,PLgcf_08,PLgcf_09,PLgcf_10,PMgcf_01,PMgcf_02,PMgcf_03,PMgcf_04,PMgcf_05,PMgcf_06,PMgcf_07,PMgcf_08,PMgcf_09,PMgcf_10,PHgcf_01,PHgcf_02,PHgcf_03,PHgcf_04,PHgcf_05,PHgcf_06,PHgcf_07,PHgcf_08,PHgcf_09,PHgcf_10
OTU77,0,0,0,27,1,0,0,0,12,1,0,0,99,33,50,225,34,31,880,11,205,41,1022,25,29,110,25,20,0,0,0,0,22,609,51,553,87,52,24,120
OTU78,2,3,12,14,9,1,11,325,3,2,75,2,2,622,20,90,7,106,26,7,69,6,181,88,2,176,1,4,4,96,0,10,49,9,12,34,52,14,11,851
OTU79,49,5,37,14,53,6,27,6,2,1,86,11,9,35,20,117,24,58,52,32,129,481,263,183,278,434,514,14,22,162,375,78,431,184,87,90,64,105,32,295
OTU80,26,152,40,44,147,39,114,82,20,80,185,18,60,44,56,36,312,38,69,94,16,4,3,19,22,17,2,156,297,90,25,32,21,36,16,12,16,158,29,6
OTU81,8,40,56,21,79,5,202,50,2,6,45,4,11,5,29,47,21,81,38,49,55,104,14,426,36,136,20,121,15,14,93,91,68,25,85,113,54,82,64,1871
OTU82,0,7,265,11,20,10,8,5,11,6,28,0,50,0,2,7,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1,5,1
OTU83,112,51,424,40,62,73,126,73,558,915,64,15,61,22,162,117,124,94,115,77,156,46,50,47,17,12,11,30,116,38,14,38,44,7,20,51,33,662,23,5
OTU84,42,20,13,115,22,10,333,82,4,22,13,5,35,16,93,23,59,157,32,33,94,13,6,21,9,41,6,291,57,23,21,112,77,28,229,110,28,26,137,25
OTU85,86,36,45,25,46,30,45,39,57,46,29,21,42,14,6,33,3,30,6,1,2,0,0,2,0,21,1,2,41,52,17,20,6,23,9,3,20,135,4,36
OTU86,2,7,92,12,11,9,9,7,10,6,11,0,4,1,1,18,0,0,0,0,1,0,15,0,1,27,36,2,3,9,0,3,4,22,10,3,1111,2,4,23
OTU87,47,9,13,7,7,11,27,4,7,10,17,4,2,13,20,177,53,21,56,14,2,9,92,31,34,14,11,51,43,257,429,12,63,74,57,163,5093,96,106,35
OTU88,26,26,13,23,39,20,28,13,13,10,48,14,46,47,109,25,29,12,28,17,34,13,11,11,18,15,29,45,10,10,136,50,36,95,163,105,59,35,153,21
OTU89,206,113,343,30,41,190,354,84,333,25,32,26,21,35,30,53,443,24,18,75,47,6,42,17,9,26,12,27,10,49,9,16,12,8,17,17,36,113,17,9
OTU90,30,55,14,1,111,4,8,3,74,3,21,4,125,41,414,66,111,35,39,67,47,2,41,1,19,0,1,7,12,12,3,1,398,77,10,8,16,12,14,3
OTU91,2,1,17,7,49,5,473,6,0,0,5,3,23,4,17,124,6,32,491,4,45,130,20,59,3,23,2,5,86,145,55,5,7,27,166,23,2,12,12,35
OTU92,4,8,10,4,30,2,31,5,3,1,17,2,14,45,15,80,30,16,18,55,230,54,15,48,18,47,15,6,16,304,0,16,48,54,29,79,34,32,37,131
OTU93,8,5,5,1,11,4,90,16,2,9,1,0,2094,2978,476,372,382,204,216,312,0,0,0,0,4,4,3,2,17,48,2,2,0,0,0,0,1,0,1,1
OTU94,1,3,11,0,4,1,85,1,2,0,5,3,6,5,5,90,9,11,7,4,67,36,469,22,56,558,11,14,4,206,10,4,307,185,35,253,36,7,12,118
OTU95,135,0,15,32,46,7,13,5,26,7,46,11,21,5255,414,982,389,200,191,312,331,1725,580,63,42,90,93,40,33,182,81,23,46,294,169,787,558,68,48,66
OTU96,18,3,2,5,2,7,56,21,0,0,17,7,2,28,61,52,33,291,27,125,85,1000,293,77,487,294,49,17,68,5,479,83,41,14,19,157,101,42,244,14
OTU97,2,6,18,2,32,2,7,36,0,4,17,1,4,69,110,392,77,156,82,1396,93,59,27,21,305,164,14,14,14,268,0,31,227,162,42,64,93,58,55,715
OTU98,1,2,13,2,8,2,4,7,1,1,7,1,11,9,25,25,12,25,11,28,201,89,30,58,68,86,110,20,9,56,12,24,224,60,59,172,47,38,67,124
OTU99,58,8,17,6,42,3,91,9,7,2,44,10,19,2,16,43,9,13,23,11,198,58,17,87,81,47,16,1,15,2250,2753,63,30,41,23,34,11,25,20,19
OTU100,35,10,104,254,44,3,36,19,3,6,132,1,14,137,83,771,58,84,103,221,377,336,272,320,848,149,870,20,47,269,615,125,269,199,217,132,357,56,565,551
